機関コード	20101
機関名称（日）	札幌医科大学
機関名称（英）	Sapporo Medical University
設置種別	公立大学
機関規模	C

機関リポジトリ名称（日）	札幌医科大学学術機関リポジトリ ikor
機関リポジトリ名称（英）	sapporo medical university information and knowledge repository
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/109.gif
機関リポジトリへのリンク（日）	http://ir.cc.sapmed.ac.jp/dspace
機関リポジトリへのリンク（英）	http://ir.cc.sapmed.ac.jp/dspace
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/109.gif
郵便番号	060-8556
住所	札幌市中央区南1条西17丁目
使用ソフトウェア	DSpace
試験公開日	2009/03/01
本公開日	2009/04/01
備考（日）	
備考（英）	

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2009/12	0	0	0	0	0	0	4	0	2378	0	0	0	0	771	3153
2009/11	0	0	0	0	0	0	4	0	2378	0	0	0	0	771	3153
2009/10	0	0	0	0	0	0	4	0	2378	0	0	0	0	771	3153
2009/09	0	0	0	0	0	0	4	0	2301	0	0	0	0	685	2990
2009/08	0	6	0	0	0	0	4	0	2284	0	0	0	0	666	2960
2009/07	0	6	0	0	0	0	4	0	2265	0	0	0	0	649	2924
2009/06	0	0	0	0	0	0	4	0	2300	0	0	0	0	479	2783
2009/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
