機関コード	15301
機関名称（日）	岡山大学
機関名称（英）	Okayama University
設置種別	国立大学
機関規模	A

機関リポジトリ名称（日）	ePrints@OUDIR
機関リポジトリ名称（英）	ePrints@OUDIR
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/17.gif
機関リポジトリへのリンク（日）	http://eprints.lib.okayama-u.ac.jp/
機関リポジトリへのリンク（英）	http://eprints.lib.okayama-u.ac.jp/
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/17.gif
郵便番号	700-8530
住所	岡山市津島中1-1-1
使用ソフトウェア	EPrints
試験公開日	2006/10/02
本公開日	2007/04/01
備考（日）	ePrints@OUDIRは岡山大学の研究成果を日本国内に発信することを主目的としています。<BR>CiNii連携対象
備考（英）	This IR cooperates with CiNii

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2009/12	540	7704	4390	37	3	0	0	5	1	0	0	9	0	520	13209
2009/11	541	7704	4228	37	3	0	0	5	1	0	0	9	0	409	12937
2009/10	537	7704	4093	37	3	0	0	5	1	0	0	7	0	196	12583
2009/09	537	7704	3929	37	3	0	0	5	1	0	0	6	0	191	12413
2009/08	537	7704	3837	37	3	0	0	5	1	0	0	6	0	185	12315
2009/07	536	7704	3766	37	3	0	0	4	1	0	0	6	0	178	12235
2009/06	533	7704	3721	37	3	0	0	2	1	0	0	4	0	176	12181
2009/05	533	7704	3091	37	3	0	0	2	1	0	0	4	0	176	11551
2009/04	548	7704	2127	37	3	0	0	2	1	0	0	4	0	170	10596
2009/03	536	7704	1480	37	3	0	0	2	1	0	0	1	0	157	9921
2009/02	503	7704	1402	0	3	0	0	2	1	0	0	0	0	103	9718
2009/01	436	7704	596	0	3	0	0	1	1	0	0	0	0	64	8805
2008/12	436	7704	502	0	3	0	0	1	1	0	0	0	0	1	8648
2008/11	417	7492	330	0	3	0	0	0	1	0	0	0	0	0	8243
2008/10	417	7492	330	0	3	0	0	0	1	0	0	0	0	0	8243
2008/09	417	7492	330	0	3	0	0	0	1	0	0	0	0	0	8243
2008/08	417	7492	330	0	3	0	0	0	1	0	0	0	0	0	8243
2008/07	417	7492	330	0	3	0	0	0	1	0	0	0	0	0	8243
2008/06	417	7487	327	0	3	0	0	0	1	0	0	0	0	0	8235
2008/05	407	7485	318	0	3	0	0	0	1	0	0	0	0	0	8214
2008/04	407	7485	318	0	3	0	0	0	1	0	0	0	0	0	8214
2008/03	407	7485	318	0	3	0	0	0	1	0	0	0	0	0	8214
2008/02	407	7485	318	0	3	0	0	0	1	0	0	0	0	0	8214
2008/01	407	7485	318	0	3	0	0	0	1	0	0	0	0	0	8214
2007/12	407	7432	303	0	3	0	0	0	1	0	0	0	0	0	8146
2007/11	407	7400	303	0	3	0	0	0	1	0	0	0	0	0	8114
2007/10	407	7334	268	0	2	0	0	0	0	0	0	0	0	0	8011
2007/09	338	7334	133	0	0	0	0	0	0	0	0	0	0	0	7805
2007/08	336	7334	89	0	0	0	0	0	0	0	0	0	0	0	7759
2007/07	335	7334	49	0	0	0	0	0	0	0	0	0	0	0	7718
2007/06	334	7048	0	0	0	0	0	0	0	0	0	0	0	0	7382
2007/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
