機関コード	34315,37503
機関名称（日）	立命館大学,立命館アジア太平洋大学
機関名称（英）	Ritsumeikan University,Ritsumeikan Asia Pacific University
設置種別	私立大学,私立大学
機関規模	D,D

機関リポジトリ名称（日）	R-Cube
機関リポジトリ名称（英）	R-Cube
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/26.jpg
機関リポジトリへのリンク（日）	http://r-cube.ritsumei.ac.jp/
機関リポジトリへのリンク（英）	http://r-cube.ritsumei.ac.jp/?locale=en
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/26.jpg
郵便番号	603-8577
住所	京都市北区等持院北町56-1　図書館サービス課
使用ソフトウェア	DSpace
試験公開日	2008/04/03
本公開日	2008/04/03
備考（日）	CiNii連携対象
備考（英）	This IR cooperates with CiNii.

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2011/11	1766	38	0	130	0	0	0	0	0	0	0	0	0	208	2142
2011/10	1668	38	0	130	0	0	0	0	0	0	0	0	0	208	2044
2011/09	1607	38	0	130	0	0	0	0	0	0	0	0	0	208	1983
2011/08	1540	38	0	122	0	0	0	0	0	0	0	0	0	208	1908
2011/07	1446	22	0	122	0	0	0	0	0	0	0	0	0	208	1798
2011/06	1407	21	0	122	0	0	0	0	0	0	0	0	0	203	1753
2011/05	1303	21	0	122	0	0	0	0	0	0	0	0	0	203	1649
2011/04	1291	21	0	122	0	0	0	0	0	0	0	0	0	203	1637
2011/03	1219	21	0	122	0	0	0	0	0	0	0	0	0	203	1565
2011/02	1109	16	0	119	0	0	0	0	0	0	0	0	0	203	1447
2011/01	981	15	0	112	0	0	0	0	0	0	0	0	0	203	1311
2010/12	922	15	0	107	0	0	0	0	0	0	0	0	0	203	1247
2010/11	829	14	0	102	0	0	0	0	0	0	0	0	0	203	1148
2010/10	813	12	0	102	0	0	0	0	0	0	0	0	0	201	1128
2010/09	799	12	0	102	0	0	0	0	0	0	0	0	0	201	1114
2010/08	775	12	0	97	0	0	0	0	0	0	0	0	0	201	1085
2010/07	702	11	0	93	0	0	0	0	0	0	0	0	0	201	1007
2010/06	491	11	0	93	0	0	0	0	0	0	0	0	0	200	795
2010/05	406	11	0	93	0	0	0	0	0	0	0	0	0	200	710
2010/04	372	11	0	93	0	0	0	0	0	0	0	0	0	200	676
2010/03	351	11	0	87	0	0	0	0	0	0	0	0	0	200	649
2010/02	351	11	0	85	0	0	0	0	0	0	0	0	0	200	647
2010/01	351	11	0	76	0	0	0	0	0	0	0	0	0	200	638
2009/12	328	11	0	76	0	0	0	0	0	0	0	0	0	200	615
2009/11	328	11	0	74	0	0	0	0	0	0	0	0	0	200	613
2009/10	328	11	0	69	0	0	0	0	0	0	0	0	0	200	608
2009/09	327	11	0	69	0	0	0	0	0	0	0	0	0	200	607
2009/08	300	11	0	60	0	0	0	0	0	0	0	0	0	200	571
2009/07	259	11	0	59	0	0	0	0	0	0	0	0	0	200	529
2009/06	259	11	0	55	0	0	0	0	0	0	0	0	0	200	525
2009/05	53	3	0	7	0	0	0	0	0	0	0	0	0	0	63
2009/04	53	3	0	7	0	0	0	0	0	0	0	0	0	0	63
2009/03	53	3	0	7	0	0	0	0	0	0	0	0	0	0	63
2009/02	53	3	0	7	0	0	0	0	0	0	0	0	0	0	63
2009/01	53	3	0	7	0	0	0	0	0	0	0	0	0	0	63
2008/12	53	3	0	7	0	0	0	0	0	0	0	0	0	0	63
2008/11	53	3	0	7	0	0	0	0	0	0	0	0	0	0	63
2008/10	53	3	0	7	0	0	0	0	0	0	0	0	0	0	63
2008/09	53	3	0	7	0	0	0	0	0	0	0	0	0	0	63
2008/08	53	3	0	7	0	0	0	0	0	0	0	0	0	0	63
2008/07	53	3	0	7	0	0	0	0	0	0	0	0	0	0	63
2008/06	53	3	0	7	0	0	0	0	0	0	0	0	0	0	63
2008/05	53	3	0	7	0	0	0	0	0	0	0	0	0	0	63
2008/04	53	3	0	7	0	0	0	0	0	0	0	0	0	0	63
2008/03	53	3	0	7	0	0	0	0	0	0	0	0	0	0	63
2008/02	53	3	0	7	0	0	0	0	0	0	0	0	0	0	63
2008/01	53	3	0	7	0	0	0	0	0	0	0	0	0	0	63
2007/12	53	3	0	7	0	0	0	0	0	0	0	0	0	0	63
2007/11	53	3	0	7	0	0	0	0	0	0	0	0	0	0	63
2007/10	53	3	0	7	0	0	0	0	0	0	0	0	0	0	63
2007/09	53	3	0	7	0	0	0	0	0	0	0	0	0	0	63
2007/08	53	3	0	7	0	0	0	0	0	0	0	0	0	0	63
2007/07	52	0	0	7	0	0	0	0	0	0	0	0	0	0	59
2007/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
