機関コード	34310
機関名称（日）	同志社大学
機関名称（英）	Doshisha University
設置種別	私立大学
機関規模	A

機関リポジトリ名称（日）	同志社大学学術リポジトリ
機関リポジトリ名称（英）	Doshisha University Academic Repository
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/27.jpg
機関リポジトリへのリンク（日）	http://elib.doshisha.ac.jp/japanese/
機関リポジトリへのリンク（英）	http://elib.doshisha.ac.jp/english/index.html
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/27.gif
郵便番号	602-8580
住所	京都市上京区今出川通烏丸東入
使用ソフトウェア	iLiswave-J　e-Lib
試験公開日	
本公開日	2007/02/26
備考（日）	CiNii連携対象
備考（英）	This IR cooperates with CiNii

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2011/11	0	247	11815	0	0	0	0	308	4	0	0	0	0	263	12637
2011/10	0	247	11774	0	0	0	0	308	4	0	0	0	0	263	12596
2011/09	0	225	11770	0	0	0	0	308	4	0	0	0	0	263	12570
2011/08	0	225	11752	0	0	0	0	308	4	0	0	0	0	263	12552
2011/07	0	225	11740	0	0	0	0	308	4	0	0	0	0	263	12540
2011/06	0	225	11692	0	0	0	0	308	4	0	0	0	0	263	12492
2011/05	0	184	11674	0	0	0	0	308	4	0	0	0	0	263	12433
2011/04	0	179	11639	0	0	0	0	308	4	0	0	0	0	263	12393
2011/03	0	179	11570	0	0	0	0	308	4	0	0	0	0	263	12324
2011/02	0	179	11553	0	0	0	0	308	4	0	0	0	0	263	12307
2011/01	0	179	11525	0	0	0	0	315	4	0	0	0	0	263	12286
2010/12	0	179	11526	0	0	0	0	158	4	0	0	0	0	263	12130
2010/11	0	177	11514	0	0	0	0	151	4	0	0	0	0	263	12109
2010/10	0	161	11652	0	0	0	0	165	0	0	0	0	0	267	12245
2010/09	0	161	11652	0	0	0	0	165	0	0	0	0	0	267	12245
2010/08	0	161	11652	0	0	0	0	165	0	0	0	0	0	267	12245
2010/07	0	161	11652	0	0	0	0	165	0	0	0	0	0	267	12245
2010/06	0	161	11633	0	0	0	0	165	0	0	0	0	0	267	12226
2010/05	0	161	11608	0	0	0	0	165	0	0	0	0	0	267	12201
2010/04	13	161	11576	0	4	0	0	165	0	0	0	0	0	267	12186
2010/03	13	131	11549	0	4	0	0	165	0	0	0	0	0	267	12129
2010/02	13	115	10282	0	4	0	0	165	0	0	0	0	0	267	10846
2010/01	13	2	10126	0	4	0	0	165	0	0	0	0	0	267	10577
2009/12	13	2	10091	0	4	0	0	165	0	0	0	0	0	267	10542
2009/11	13	2	10070	0	4	0	0	165	0	0	0	0	0	267	10521
2009/10	13	2	10064	0	4	0	0	165	0	0	0	0	0	266	10514
2009/09	13	2	10013	0	4	0	0	165	0	0	0	0	0	266	10463
2009/08	13	2	9917	0	4	0	0	165	0	0	0	0	0	266	10367
2009/07	13	2	9900	0	4	0	0	165	0	0	0	0	0	266	10350
2009/06	13	2	9864	0	4	0	0	165	0	0	0	0	0	266	10314
2009/05	13	2	9802	0	4	0	0	165	0	0	0	0	0	263	10249
2009/04	13	2	9748	0	4	0	0	165	0	0	0	0	0	263	10195
2009/03	13	2	9699	0	4	0	0	165	0	0	0	0	0	263	10146
2009/02	13	2	9670	0	4	0	0	165	0	0	0	0	0	263	10117
2009/01	13	2	9650	0	4	0	0	165	0	0	0	0	0	263	10097
2008/12	13	2	9634	0	4	0	0	165	0	0	0	0	0	263	10081
2008/11	13	2	9604	0	4	0	0	165	0	0	0	0	0	263	10051
2008/10	13	2	8984	0	4	0	0	165	0	0	0	0	0	263	9431
2008/09	13	2	8952	0	4	0	0	165	0	0	0	0	0	263	9399
2008/08	13	2	8947	0	4	0	0	165	0	0	0	0	0	263	9394
2008/07	13	2	8884	0	4	0	0	165	0	0	0	0	0	263	9331
2008/06	13	2	8884	0	4	0	0	165	0	0	0	0	0	263	9331
2008/05	13	2	8877	0	4	0	0	136	0	0	0	0	0	262	9294
2008/04	13	2	8863	0	4	0	0	136	0	0	0	0	0	262	9280
2008/03	13	2	8836	0	4	0	0	91	0	0	0	0	0	262	9208
2008/02	13	2	8730	0	4	0	0	0	0	0	0	0	0	317	9066
2008/01	13	2	8726	0	4	0	0	0	0	0	0	0	0	260	9005
2007/12	13	2	8711	0	4	0	0	0	0	0	0	0	0	260	8990
2007/11	13	0	8690	0	4	0	0	0	0	0	0	0	0	260	8967
2007/10	13	0	8673	0	4	0	0	0	0	0	0	0	0	262	8952
2007/09	13	0	8603	0	4	0	0	0	0	0	0	0	0	0	8620
2007/08	13	0	8579	0	4	0	0	0	0	0	0	0	0	0	8596
2007/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
