機関コード	17401
機関名称（日）	熊本大学
機関名称（英）	Kumamoto University
設置種別	国立大学
機関規模	B

機関リポジトリ名称（日）	熊本大学学術リポジトリ
機関リポジトリ名称（英）	Kumamoto University Repository
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/42.gif
機関リポジトリへのリンク（日）	http://reposit.lib.kumamoto-u.ac.jp/
機関リポジトリへのリンク（英）	http://reposit.lib.kumamoto-u.ac.jp/
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/42.png
郵便番号	860-8555
住所	熊本県熊本市黒髪２丁目４０番１号
使用ソフトウェア	Nalis-R (DSpace)
試験公開日	2006/03/31
本公開日	2006/05/01
備考（日）	
備考（英）	

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2010/01	480	625	5237	78	148	215	0	122	0	3	19	0	0	144	7071
2009/12	428	620	5210	76	146	202	0	115	0	2	19	0	0	143	6961
2009/11	387	620	5201	74	65	136	0	114	0	3	19	0	0	143	6762
2009/10	309	619	5155	74	65	136	0	113	0	2	19	0	0	131	6623
2009/09	282	613	4979	74	64	136	0	109	0	1	16	0	0	114	6388
2009/08	273	610	4963	69	58	135	0	108	0	1	14	0	0	110	6341
2009/07	272	592	4962	69	58	135	0	108	0	1	14	0	0	110	6321
2009/06	269	584	4923	69	58	135	0	108	0	1	14	0	0	108	6269
2009/05	267	576	4903	69	50	135	0	103	0	1	14	0	0	108	6226
2009/04	227	576	4885	68	23	135	0	103	0	1	13	0	0	108	6139
2009/03	100	507	3279	57	10	135	0	30	0	1	13	0	0	108	4240
2009/02	58	14	989	54	6	135	0	21	0	1	10	0	0	108	1396
2009/01	34	14	203	28	4	24	0	11	0	0	9	0	0	105	432
2008/12	24	0	202	13	3	0	0	11	0	0	9	0	0	61	323
2008/11	7	0	19	13	1	0	0	6	0	0	9	0	0	5	60
2008/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
