機関コード	13201
機関名称（日）	富山大学
機関名称（英）	University of Toyama
設置種別	国立大学
機関規模	A

機関リポジトリ名称（日）	富山大学学術情報リポジトリ
機関リポジトリ名称（英）	University of Toyama Repository
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/52.gif
機関リポジトリへのリンク（日）	http://utomir.lib.u-toyama.ac.jp/dspace/index.jsp
機関リポジトリへのリンク（英）	http://utomir.lib.u-toyama.ac.jp/dspace/index.jsp
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/52.gif
郵便番号	930-8555
住所	富山県富山市五福3190
使用ソフトウェア	DSpace
試験公開日	2007/12/26
本公開日	2008/03/09
備考（日）	
備考（英）	

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2010/01	881	10	1416	59	1	45	12	6	3	0	0	0	0	1	2434
2009/12	881	10	1410	59	1	45	12	6	3	0	0	0	0	1	2428
2009/11	881	10	1411	59	1	45	12	6	3	0	0	0	0	1	2429
2009/10	881	10	1418	59	1	45	2	6	3	0	0	0	0	4	2429
2009/09	881	10	1418	59	1	45	0	6	3	0	0	0	0	6	2429
2009/08	881	10	1416	59	1	45	0	6	3	0	0	0	0	4	2425
2009/07	881	10	1413	59	1	45	0	6	3	0	0	0	0	4	2422
2009/06	881	10	1413	59	1	45	0	6	3	0	0	0	0	4	2422
2009/05	881	10	1413	59	1	45	0	6	3	0	0	0	0	4	2422
2009/04	881	10	1394	59	1	45	0	6	3	0	0	0	0	4	2403
2009/03	881	10	1390	59	1	45	0	6	3	0	0	0	0	4	2399
2009/02	881	10	1294	59	1	45	0	6	3	0	0	0	0	4	2303
2009/01	881	10	1294	59	1	45	0	6	3	0	0	0	0	4	2303
2008/12	881	10	1289	59	1	45	0	6	3	0	0	0	0	3	2297
2008/11	881	10	1289	59	1	45	0	6	3	0	0	0	0	3	2297
2008/10	881	10	1246	59	1	45	0	6	3	0	0	0	0	3	2254
2008/09	881	10	1240	59	1	40	0	6	3	0	0	0	0	2	2242
2008/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
