機関コード	35413
機関名称（日）	広島国際大学
機関名称（英）	Hiroshima International University
設置種別	私立大学
機関規模	B

機関リポジトリ名称（日）	広島県大学共同リポジトリ
機関リポジトリ名称（英）	Hiroshima Associated Repository Portal
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/75.gif
機関リポジトリへのリンク（日）	http://harp.lib.hiroshima-u.ac.jp/
機関リポジトリへのリンク（英）	http://harp.lib.hiroshima-u.ac.jp/
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/75.gif
郵便番号	724-0695
住所	広島県東広島市黒瀬学園台555-36
使用ソフトウェア	DSpace
試験公開日	
本公開日	2008/04/30
備考（日）	CiNii連携対象
備考（英）	This IR cooperates with CiNii

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2011/11	125	0	149	0	0	1	0	22	0	1	0	0	0	0	298
2011/10	125	0	148	0	0	1	0	22	0	1	0	0	0	0	297
2011/09	95	0	144	0	0	1	0	22	0	1	0	0	0	0	263
2011/08	90	0	138	0	0	1	0	22	0	1	0	0	0	0	252
2011/07	83	0	90	0	0	1	0	22	0	1	0	0	0	0	197
2011/06	82	0	90	0	0	1	0	22	0	1	0	0	0	0	196
2011/05	80	0	90	0	0	1	0	22	0	1	0	0	0	0	194
2011/04	79	0	89	0	0	1	0	22	0	1	0	0	0	0	192
2011/03	74	0	89	0	0	1	0	22	0	1	0	0	0	0	187
2011/02	59	0	89	0	0	1	0	22	0	1	0	0	0	0	172
2011/01	37	0	89	0	0	1	0	22	0	1	0	0	0	0	150
2010/12	29	0	87	0	0	1	0	22	0	0	0	0	0	0	139
2010/11	29	0	87	0	0	1	0	22	0	0	0	0	0	0	139
2010/10	29	0	87	0	0	1	0	22	0	0	0	0	0	0	139
2010/09	29	0	87	0	0	1	0	22	0	0	0	0	0	0	139
2010/08	26	0	84	0	0	1	0	22	0	0	0	0	0	0	133
2010/07	20	0	70	0	0	1	0	17	0	0	0	0	0	0	108
2010/06	19	0	70	0	0	1	0	13	0	0	0	0	0	0	103
2010/05	15	0	70	0	0	1	0	1	0	0	0	0	0	0	87
2010/04	15	0	69	0	0	1	0	0	0	0	0	0	0	0	85
2010/03	15	0	69	0	0	1	0	0	0	0	0	0	0	0	85
2010/02	5	0	54	0	0	1	0	0	0	0	0	0	0	0	60
2010/01	5	0	54	0	0	1	0	0	0	0	0	0	0	0	60
2009/12	5	0	54	0	0	1	0	0	0	0	0	0	0	0	60
2009/11	5	0	40	0	0	1	0	0	0	0	0	0	0	0	46
2009/10	1	0	23	0	0	1	0	0	0	0	0	0	0	0	25
2009/09	1	0	23	0	0	1	0	0	0	0	0	0	0	0	25
2009/08	1	0	23	0	0	1	0	0	0	0	0	0	0	0	25
2009/07	1	0	23	0	0	1	0	0	0	0	0	0	0	0	25
2009/06	1	0	23	0	0	1	0	0	0	0	0	0	0	0	25
2009/05	1	0	23	0	0	1	0	0	0	0	0	0	0	0	25
2009/04	1	0	23	0	0	1	0	0	0	0	0	0	0	0	25
2009/03	1	0	23	0	0	1	0	0	0	0	0	0	0	0	25
2009/02	1	0	23	0	0	1	0	0	0	0	0	0	0	0	25
2009/01	1	0	23	0	0	1	0	0	0	0	0	0	0	0	25
2008/12	1	0	23	0	0	1	0	0	0	0	0	0	0	0	25
2008/11	1	0	23	0	0	1	0	0	0	0	0	0	0	0	25
2008/10	1	0	23	0	0	1	0	0	0	0	0	0	0	0	25
2008/09	1	0	23	0	0	1	0	0	0	0	0	0	0	0	25
2008/08	1	0	23	0	0	1	0	0	0	0	0	0	0	0	25
2008/07	1	0	23	0	0	1	0	0	0	0	0	0	0	0	25
2008/06	1	0	23	0	0	1	0	0	0	0	0	0	0	0	25
2008/05	1	0	23	0	0	1	0	0	0	0	0	0	0	0	25
2008/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
